tree,node,depth,count,is_leaf,feature,condition,left,right,missing_go_to_left,value,threshold,left_categories
8,10,1,55389,False,lag_2,lag_2 <= 0.115942,11.0,14.0,False,0.18637520532861604,0.11594202898550725,[]
8,11,2,9950,False,month_sin,month_sin <= 0.25,12.0,13.0,True,-0.11827309236947792,0.25000000000000006,[]
8,12,3,5264,True,,leaf,,,False,-0.0003075196562032423,,[]
8,13,3,4686,True,,leaf,,,False,-0.01596423532242724,,[]
8,14,2,45439,False,month_sin,month_sin <= -6.12323e-17,15.0,22.0,True,0.25309687781909396,-6.123233995736766e-17,[]
8,15,3,23931,False,log_scale,log_scale <= 3.4889,16.0,19.0,True,0.38206424125976357,3.488902962081261,[]
8,16,4,15283,False,mean_6,mean_6 <= 1.53144,17.0,18.0,True,0.28202445563329626,1.5314377252703244,[]
8,17,5,9059,True,,leaf,,,False,0.010979998854288388,,[]
8,18,5,6224,True,,leaf,,,False,0.037797118547892715,,[]
8,19,4,8648,False,category,"category in ['0103', '0105', '0107', '0108', '0201', '0302', '0808', '1302', '1303', '2401', '2601', '2703']",20.0,21.0,True,0.5583275583275583,,"[""0103"", ""0105"", ""0107"", ""0108"", ""0201"", ""0302"", ""0808"", ""1302"", ""1303"", ""2401"", ""2601"", ""2703""]"
8,20,5,4457,True,,leaf,,,False,0.032535680749372915,,[]
8,21,5,4191,True,,leaf,,,False,0.019592000176019326,,[]
8,22,3,21508,False,cv_12,cv_12 <= 0.818488,23.0,28.0,True,0.10948972952876661,0.8184875533567997,[]
8,23,4,12174,False,category,"category in ['0103', '0105', '0107', '0108', '0302', '0808', '1201', '1302', '1303', '1510', '2403', '2514', '2601', '2801', '2802', '3002']",24.0,27.0,True,0.2449113591595535,,"[""0103"", ""0105"", ""0107"", ""0108"", ""0302"", ""0808"", ""1201"", ""1302"", ""1303"", ""1510"", ""2403"", ""2514"", ""2601"", ""2801"", ""2802"", ""3002""]"
8,24,5,9679,False,log_scale,log_scale <= 5.69233,25.0,26.0,True,0.30333367736608524,5.692328235722193,[]
